name,code
计价器与GPS通信异常$GPS开路$空车$,1
计价器与GPS通信异常$GPS开路$重车$,2
车辆正常行驶一段时间不能正确定位$超速报警$GPS开路$重车$,3
超速报警$GPS开路$空车$,4
超速报警$计价器与GPS通信异常$GPS开路$空车$,5
车辆电池电压过低$ACC熄火状态$空车$,6
车辆正常行驶一段时间不能正确定位$超速报警$ACC熄火状态$GPS开路$空车$,7
计价器与GPS通信异常$ACC熄火状态$空车$,8
超速报警$空车$,9
ACC熄火状态$交班$空车$,10
车辆正常行驶一段时间不能正确定位$超速报警$空车$,11
车辆电池电压过低$空车$,12
暂停$ACC熄火状态$空车$,13
超速报警$GPS开路$重车$,14
包车$空车$,15
上车,16
车辆正常行驶一段时间不能正确定位$超速报警$GPS开路$空车$,17
ACC熄火状态$空车$,18
暂停$空车$,19
ACC熄火状态$GPS开路$空车$,20
劫警,21
车辆正常行驶一段时间不能正确定位$计价器与GPS通信异常$空车$,22
GPS接收机故障$ACC熄火状态$重车$,23
GPS开路$空车$,24
车辆正常行驶一段时间不能正确定位$GPS开路$重车$,25
车辆正常行驶一段时间不能正确定位$计价器与GPS通信异常$GPS开路$重车$,26
GPS接收机故障$ACC熄火状态$空车$,27
下车,28
ACC熄火状态$GPS开路$重车$,29
重车$,30
超速报警$重车$,31
车辆正常行驶一段时间不能正确定位$计价器与GPS通信异常$GPS开路$空车$,32
车辆正常行驶一段时间不能正确定位$ACC熄火状态$重车$,33
劫警$空车$,34
车辆正常行驶一段时间不能正确定位$空车$,35
超速报警$计价器与GPS通信异常$空车$,36
超速报警$暂停$空车$,37
超速报警$ACC熄火状态$空车$,38
超速报警$ACC熄火状态$GPS开路$空车$,39
计价器与GPS通信异常$空车$,40
ACC熄火状态$重车$,41
劫警$ACC熄火状态$空车$,42
交班$空车$,43
车辆正常行驶一段时间不能正确定位$计价器与GPS通信异常$ACC熄火状态$空车$,44
计价器与GPS通信异常$ACC熄火状态$重车$,45
劫警$重车$,46
计价器与GPS通信异常$重车$,47
超速报警$计价器与GPS通信异常$重车$,48
车辆正常行驶一段时间不能正确定位$重车$,49
车辆正常行驶一段时间不能正确定位$GPS开路$空车$,50
车辆正常行驶一段时间不能正确定位$ACC熄火状态$GPS开路$空车$,51
车辆正常行驶一段时间不能正确定位$ACC熄火状态$空车$,52
超速报警$ACC熄火状态$重车$,53
GPS接收机故障$重车$,54
车辆正常行驶一段时间不能正确定位$计价器与GPS通信异常$重车$,55
空车$,56
抓拍,57
GPS接收机故障$空车$,58
电召$空车$,59
计价器黑屏$空车$,60
劫警$GPS接收机故障$空车$,61
GPS开路$重车$,62
车辆正常行驶一段时间不能正确定位$ACC熄火状态$GPS开路$重车$,63
劫警$ACC熄火状态$重车$,64
车辆正常行驶一段时间不能正确定位$超速报警$重车$,65
